epoch,train_loss,val_loss,val_dice
1,2.234024871,1.949824615,19.77910817
2,1.821752928,1.712181167,79.34131622
3,1.696926198,1.68264376,54.52709109
4,1.559943378,1.611361081,69.02796626
5,1.440371947,1.60176185,69.46375191
6,1.394589077,1.471817396,54.99513745
7,1.322613917,1.402886098,43.54679883
8,1.242293873,1.417987704,42.25614667
9,1.190117549,1.449926626,31.38566375
10,1.185616258,1.435589097,59.72818434
11,1.114306393,1.542956818,58.79894018
12,1.118358184,1.33816848,49.80347276
13,1.079857143,1.392477675,58.81600022
14,1.067435806,1.35879289,62.02578843
15,1.025992112,1.328628898,58.84104967
16,1.013627892,1.466067401,65.05054474
17,1.018692152,1.406750137,71.81119323
18,0.992647255,1.343232653,64.23276186
19,0.993540509,1.354208361,67.62360334
20,0.993423874,1.290666407,58.62958431
21,0.952294233,1.356355234,66.320467
22,0.936585337,1.350982157,69.50902045
23,0.935415791,1.423676935,73.51101041
24,0.888596909,1.423328768,76.45287275
25,0.971573838,1.391169765,62.43272424
26,0.890396118,1.395861929,72.78409481
27,0.858478137,1.39564628,73.72359157
28,0.870861186,1.418375373,73.78754258
29,0.877038319,1.387544209,71.76425934
30,0.859028776,1.413711732,71.3131541
